tasks,variants,memory,xml,generator,description
1,372001,57663488,351,126,764
1,373001,57663488,351,126,868
1,374001,57663488,351,126,757
1,375001,57663488,351,126,762
1,376001,57663488,351,126,760
1,377001,57663488,351,127,757
1,378001,57663488,351,126,757
1,379001,57663488,351,127,761
1,380001,57663488,351,126,759
1,381001,57663488,351,126,759
1,382001,57663488,351,127,762
1,383001,57663488,351,196,762
1,384001,57663488,351,127,759
1,385001,57663488,351,162,757
1,386001,57663488,351,126,766
1,387001,57663488,351,126,758
1,388001,57663488,351,126,758
1,389001,57663488,351,126,759
1,390001,57663488,351,127,763
1,391001,57663488,351,127,755
1,392001,57663488,351,126,760
1,393001,57663488,351,126,754
1,394001,57663488,351,126,759
1,395001,57663488,351,132,764
1,396001,57663488,351,128,1043
1,397001,57663488,351,126,762
1,398001,57663488,351,127,761
1,399001,57663488,351,126,861
1,400001,57663488,351,126,776
1,401001,57663488,351,126,761
1,402001,57663488,351,126,760
1,403001,57663488,351,126,762
1,404001,57663488,351,127,755
1,405001,57663488,351,126,774
1,406001,57663488,351,126,759
1,407001,57663488,351,126,862
1,408001,57663488,351,126,760
1,409001,57663488,351,127,764
1,410001,57663488,351,126,759
1,411001,57663488,351,126,755
1,412001,57663488,351,126,766
1,413001,57663488,351,125,755
1,414001,57663488,351,125,759
1,415001,57663488,351,125,759
1,416001,57663488,351,126,790
1,417001,57663488,351,128,757
1,418001,57663488,351,284,1575
1,419001,57663488,351,242,1165
1,420001,57663488,351,126,762
1,421001,57663488,351,126,765
1,422001,57663488,351,129,942
1,423001,57663488,351,127,761
1,424001,57663488,351,127,759
1,425001,57663488,351,126,821
1,426001,57663488,351,126,799
1,427001,57663488,351,132,762
1,428001,57663488,351,126,757
1,429001,57663488,351,140,760
1,430001,57663488,351,128,771
1,431001,57663488,351,126,760
1,432001,57663488,351,127,765
1,433001,57663488,351,126,759
1,434001,57663488,351,126,759
1,435001,57663488,351,127,757
1,436001,57663488,351,126,754
1,437001,57663488,351,126,754
1,438001,57663488,351,126,754
1,439001,57663488,351,126,760
1,440001,57663488,351,126,764
1,441001,57663488,351,126,759
1,442001,57663488,351,126,754
1,443001,57663488,351,126,758
1,444001,57663488,351,127,762
1,445001,57663488,351,127,759
1,446001,57663488,351,126,754
1,447001,57663488,351,128,762
1,448001,57663488,351,126,890
1,449001,57663488,351,127,759
1,450001,57663488,351,126,760
1,451001,57663488,351,126,763
1,452001,57663488,351,126,771
1,453001,57663488,351,126,755
1,454001,57663488,351,126,779
1,455001,57663488,351,128,759
1,456001,57663488,351,127,861
1,457001,57663488,351,127,760
1,458001,57663488,351,128,759
1,459001,57663488,351,126,844
1,460001,57663488,351,126,759
1,461001,57663488,351,127,759
1,462001,57663488,351,203,777
1,463001,57663488,351,126,762
1,464001,57663488,351,127,777
1,465001,57663488,351,128,756
1,466001,57663488,351,126,771
1,467001,57663488,351,126,755
1,468001,57663488,351,126,760
1,469001,57663488,351,128,759
1,470001,57663488,351,127,759
1,471001,57663488,351,232,1189
1,472001,57663488,351,233,1175
1,473001,57663488,351,208,1188
1,474001,57663488,351,232,1181
1,475001,57663488,351,244,1192
1,476001,57663488,351,235,1199
1,477001,57663488,351,128,780
1,478001,57663488,351,253,833
1,479001,57663488,351,125,757
1,480001,57663488,351,248,1152
1,481001,57663488,351,126,761
1,482001,57663488,351,127,960
1,483001,57663488,351,127,762
1,484001,57663488,351,127,754
1,485001,57663488,351,127,1084
1,486001,57663488,351,125,756
1,487001,57663488,351,127,760
1,488001,57663488,351,126,763
1,489001,57663488,351,126,765
1,490001,57663488,351,128,919
1,491001,57663488,351,125,758
1,492001,57663488,351,127,763
1,493001,57663488,351,192,762
1,494001,57663488,351,151,815
1,495001,57663488,351,128,754
1,496001,57663488,351,126,764
1,497001,57663488,351,127,763
1,498001,57663488,351,126,758
1,499001,57663488,351,125,762
1,500001,57663488,351,127,760
1,501001,57663488,351,126,761
1,502001,57663488,351,126,757
1,503001,57663488,351,126,756
1,504001,57663488,351,126,759
1,505001,57663488,351,126,760
1,506001,57663488,351,126,761
1,507001,57663488,351,250,1235
1,508001,57663488,351,126,759
1,509001,57663488,351,127,756
1,510001,57663488,351,135,765
1,511001,57663488,351,126,759
1,512001,57663488,351,126,757
1,513001,57663488,351,141,754
1,514001,57663488,351,127,754
1,515001,57663488,351,126,759
1,516001,57663488,351,125,775
1,517001,57663488,351,127,1180
1,518001,57663488,351,127,759
1,519001,57663488,351,127,759
